lat,lon,name
49.12819,20.060424,Areál bežeckého lyžovania SNOW Štrbské Pleso
49.272214,20.309974,BACHLEDKA Ski and Sun
49.273076,20.306138,Bachledova DENY
48.664805,17.964411,Bezovec
49.328423,19.666889,BREZOVICA
48.787177,19.180493,Čachovo - Selce
49.279449,18.223288,Čertov - Lazy pod Makytou
48.905582,19.736653,Čertovica - STIV
48.932745,19.599316,Chopok juh - Kosodrevina
48.923927,19.601882,Chopok juh - Srdiečko
48.968580,19.582169,Chopok sever - Biela púť
48.963812,19.583279,Chopok sever - Otupné
48.971149,19.597703,Chopok sever - Záhradky
48.95207,18.522271,Čičmany
48.321007,19.260136,Dačov Lom - Lomník
49.125089,20.248558,Dolný Smokovec - Pod lesom
48.889685,19.230497,Donovaly - Nová hoľa
48.889685,19.230497,Donovaly - Záhradište
49.144012,21.116492,Drienica
48.962483,18.604927,Fačkovské sedlo - Kľak
49.188227,21.236206,Fričkovce
48.767919,21.133204,Jahodná
49.012995,19.009525,Jasenská dolina
49.328526,18.376121,Kasárne - Javorníky
48.780229,21.202013,Kavečany
48.725917,18.942,Krahule
48.73744,19.01965,Králiky
48.869061,19.546889,Krpáčovo
48.983611,20.246183,Kubašok - Sp. Bystré
49.377111,20.621739,Litmanová
49.398662,21.394022,Makovica - Nižná Polianka
49.268435,20.247554,Monkova dolina - Ždiar
48.846438,19.620793,Mýto pod Ďumbierom
49.044934,19.640183,Opalisko - Závažná Poruba
49.386502,19.180014,Orava Snow - Oravská Lesná
49.025588,19.561528,Pavčina Lehota
48.348766,17.191067,Pezinská Baba
49.144479,19.903007,Podbanské SKI
48.813653,19.247908,Podkonice - Pleše
48.8523,19.85258,Polomka - Bučník
48.872367,20.729978,Poráč-Brodok
49.254776,19.338162,Racibor - Oravský Podzámok
49.420986,21.27366,Regetovka
48.899333,20.89172,Relax Center Plejsy
49.068331,20.609039,Resort Levočská dolina
49.234101,19.715227,Roháče - Spálená dolina
49.053231,19.263693,Ružomberok - Malinô Brdo
48.805344,19.149534,Šachtičky
48.45783,18.853832,Salamandra Resort
48.739938,18.989002,Skalka arena
48.753358,18.802629,Ski - TMG Remata
48.428478,18.553772,Ski centrum Drozdovo
49.295224,18.230499,Ski Centrum Kohútka
48.767467,19.025237,Ski Centrum Kordíky
48.85549,20.567415,Ski Centrum Mraznica - Hnilčík
49.300648,19.524003,Ski Centrum Nižná Uhliská
48.904691,19.73738,SKI Čertovica
48.747733,19.634465,Ski Čierny Balog
48.853747,20.402924,Ski Gugel Mlynky
49.37539,19.344562,Ski Krušetnica
48.820186,17.601599,Ski Land Stará Myjava
49.163742,21.14332,Ski Lysá
49.349632,18.474712,Ski Makov
48.981616,18.408905,Ski Mojtín
49.251384,19.266725,SKI PARK Kubínska hoľa
48.976583,20.100602,SKI PARK Liptovská Teplička
49.301049,19.749033,SKI PARK Oravice
49.298765,18.345324,SKI Podjavorník
49.291381,18.283095,Ski Ráztoka - Horná Maríková
48.598054,19.660764,Ski Resort - Hotel Royal Látky
48.850153,20.203916,Ski Telgárt
49.34162,19.737561,SKI VITANOVÁ Vrchdolinky
49.296206,19.259074,Ski Zábava-Hruštín
48.743516,19.85098,Ski Zbojská
48.556556,18.675727,Ski-Blanc Ostrý Grúň Kollárová
49.035979,20.150902,Ski-Tatrasvit - Lopušná dolina
48.963499,18.611833,Skicentrum Kľačno
48.589815,19.735071,Skicentrum Kokava-línia
49.273394,20.228605,Skicentrum Strednica - Ždiar
48.746254,19.070042,Skicentrum Tajov
49.134874,19.679365,Skicentrum Žiar-Dolinky
48.775731,20.984122,Skipark Erika - Kojšovská hoľa
48.755269,17.937294,Skipark Kálnica
49.311895,20.557608,Skipark Vyšné Ružbachy
49.284991,18.894325,SNOW SUN Vadičov
49.014968,18.808969,Snowland - Valčianska dolina
49.415135,18.920534,SNOWPARADISE Veľká Rača
49.048522,20.148894,Snowpark Lučivná
49.211934,19.163332,Športcentrum Lučivná - BLV1
49.211934,19.163332,Športcentrum Lučivná - Magura
49.211934,19.163332,Športcentrum Lučivná - Sedačková lanovka
49.432469,18.883462,Športcentrum Oščadnica
49.138021,20.213623,Starý Smokovec
49.276475,20.236295,Strachan Ski Centrum-Ždiar
49.129246,20.059776,Štrbské Pleso
49.039438,20.161604,Svit - Lopušná dolina
48.868248,19.592693,Tále
49.166117,20.269432,Tatranská Lomnica
48.924092,20.260066,Vernár-Studničky
49.208754,19.042241,Vrátna - Chleb
49.228125,19.035761,Vrátna - Paseky
49.21422,19.056917,Vrátna - Poludňový Grúň
48.926141,19.750553,Vyšná Boca - Bačova roveň
48.786675,20.344509,Vyšná Slaná - Július
49.094273,18.833136,winter park MARTINKY
48.379196,17.277055,Zochova chata - Piesok
49.264707,19.606285,Zuberec - Janovky
49.260835,19.608822,Zuberec - Milotín
